codigo_renaes,emergencias_total
00000001,15358.0
00000003,8156.0
00000007,7709.0
00000066,851.0
00000161,321.0
00000185,7183.0
00000191,1071.0
00000192,2388.0
00000193,3206.0
00000194,42.0
00000195,2.0
00000196,404.0
00000197,566.0
00000199,2.0
00000200,92.0
00000201,144.0
00000202,1026.0
00000204,469.0
00000205,386.0
00000210,11004.0
00000211,15.0
00000213,2.0
00000214,2306.0
00000215,0.0
00000219,988.0
00000220,469.0
00000226,992.0
00000227,934.0
00000232,2731.0
00000308,3028.0
00000310,0.0
00000311,1.0
00000312,0.0
00000314,15.0
00000315,14.0
00000316,2.0
00000317,4.0
00000318,963.0
00000319,11.0
00000320,419.0
00000321,20.0
00000322,0.0
00000323,0.0
00000324,0.0
00000325,1.0
00000326,0.0
00000327,0.0
00000328,0.0
00000329,0.0
00000330,57.0
00000331,0.0
00000332,0.0
00000333,0.0
00000334,0.0
00000335,0.0
00000336,2.0
00000337,0.0
00000338,0.0
00000339,0.0
00000340,3981.0
00000341,0.0
00000342,0.0
00000343,0.0
00000344,0.0
00000345,0.0
00000346,0.0
00000347,0.0
00000348,0.0
00000349,0.0
00000350,0.0
00000351,0.0
00000352,0.0
00000353,0.0
00000354,2379.0
00000355,0.0
00000356,0.0
00000357,0.0
00000358,0.0
00000359,0.0
00000360,0.0
00000361,0.0
00000362,0.0
00000363,0.0
00000365,5459.0
00000367,0.0
00000368,0.0
00000369,0.0
00000370,0.0
00000371,0.0
00000372,0.0
00000373,0.0
00000374,0.0
00000375,0.0
00000376,0.0
00000377,0.0
00000378,0.0
00000379,0.0
00000380,0.0
00000381,0.0
00000382,0.0
00000383,0.0
00000384,0.0
00000385,0.0
00000386,0.0
00000388,0.0
00000389,0.0
00000390,0.0
00000391,0.0
00000393,0.0
00000394,0.0
00000395,0.0
00000397,0.0
00000398,0.0
00000399,0.0
00000400,0.0
00000401,0.0
00000402,0.0
00000403,0.0
00000404,0.0
00000405,0.0
00000406,0.0
00000407,0.0
00000408,0.0
00000409,0.0
00000410,0.0
00000411,0.0
00000412,0.0
00000413,0.0
00000414,0.0
00000415,0.0
00000416,0.0
00000417,0.0
00000418,0.0
00000419,0.0
00000421,0.0
00000422,0.0
00000423,0.0
00000424,0.0
00000425,0.0
00000426,0.0
00000427,0.0
00000428,0.0
00000429,0.0
00000430,0.0
00000431,0.0
00000432,6475.0
00000433,0.0
00000434,1171.0
00000435,0.0
00000436,0.0
00000437,0.0
00000438,0.0
00000439,6.0
00000440,0.0
00000442,3245.0
00000443,0.0
00000444,0.0
00000445,0.0
00000446,0.0
00000447,0.0
00000448,0.0
00000449,0.0
00000450,0.0
00000451,0.0
00000452,0.0
00000453,0.0
00000454,0.0
00000455,0.0
00000456,0.0
00000457,0.0
00000458,0.0
00000459,0.0
00000460,0.0
00000461,0.0
00000462,0.0
00000463,0.0
00000464,0.0
00000465,0.0
00000466,0.0
00000467,0.0
00000468,0.0
00000469,0.0
00000470,0.0
00000471,0.0
00000472,0.0
00000473,0.0
00000474,0.0
00000475,0.0
00000477,0.0
00000478,0.0
00000479,0.0
00000480,0.0
00000481,0.0
00000482,0.0
00000483,0.0
00000484,0.0
00000485,0.0
00000486,0.0
00000487,0.0
00000488,0.0
00000489,0.0
00000490,3.0
00000491,0.0
00000492,0.0
00000493,0.0
00000494,0.0
00000495,0.0
00000496,0.0
00000497,0.0
00000498,0.0
00000499,0.0
00000500,0.0
00000501,0.0
00000502,0.0
00000503,0.0
00000504,0.0
00000505,0.0
00000506,0.0
00000507,0.0
00000509,0.0
00000510,0.0
00000511,0.0
00000512,0.0
00000513,0.0
00000514,0.0
00000515,0.0
00000516,0.0
00000517,0.0
00000518,0.0
00000519,390.0
00000520,2648.0
00000521,527.0
00000522,0.0
00000523,0.0
00000524,0.0
00000525,0.0
00000526,0.0
00000527,0.0
00000528,0.0
00000529,0.0
00000530,0.0
00000531,0.0
00000532,0.0
00000533,0.0
00000534,0.0
00000535,0.0
00000536,0.0
00000537,0.0
00000538,0.0
00000539,0.0
00000540,0.0
00000541,0.0
00000542,184.0
00000543,0.0
00000544,0.0
00000545,0.0
00000546,0.0
00000547,0.0
00000548,0.0
00000550,0.0
00000551,0.0
00000552,0.0
00000553,0.0
00000554,0.0
00000555,0.0
00000556,0.0
00000557,0.0
00000558,0.0
00000559,0.0
00000560,0.0
00000561,0.0
00000562,0.0
00000563,0.0
00000564,0.0
00000565,0.0
00000566,0.0
00000567,0.0
00000568,0.0
00000569,0.0
00000570,0.0
00000571,0.0
00000572,0.0
00000573,0.0
00000574,0.0
00000575,0.0
00000576,0.0
00000577,0.0
00000578,0.0
00000579,0.0
00000580,0.0
00000581,0.0
00000582,0.0
00000584,0.0
00000585,0.0
00000586,0.0
00000587,0.0
00000588,0.0
00000589,0.0
00000590,0.0
00000591,0.0
00000592,0.0
00000593,0.0
00000595,0.0
00000596,0.0
00000597,0.0
00000598,0.0
00000599,0.0
00000600,0.0
00000601,0.0
00000602,0.0
00000603,0.0
00000604,0.0
00000605,0.0
00000606,0.0
00000607,0.0
00000608,923.0
00000609,0.0
00000610,0.0
00000611,36.0
00000612,1.0
00000613,0.0
00000614,0.0
00000615,0.0
00000616,0.0
00000617,0.0
00000619,0.0
00000620,28.0
00000621,0.0
00000622,0.0
00000623,0.0
00000624,0.0
00000625,0.0
00000626,0.0
