ubigeo,n_facilities,mean,max,emergencias_total
000ACO,4.0,8874.8717998027,9059.311070183394,
000ATE,22.0,8673.943622714572,8676.60012315002,
000AYO,1.0,8304.752370727036,8316.491198850566,
000ICA,11.0,8451.506338089706,8457.433174134978,
000ILO,6.0,8092.26208978521,8096.596494208838,
000ITE,2.0,8078.804743455166,8097.648628847937,
000UCO,1.0,8988.160705360982,8993.426241982537,
00ACAS,1.0,8843.150352084589,8850.855310471497,
00ACOS,1.0,8499.812111069623,8509.012943436184,
00ACZO,3.0,8986.743532783687,8993.710463575253,
00AIJA,1.0,8919.399357277167,8925.154719235541,
00ALCA,1.0,8359.178659975925,8363.758723913943,
00ALIS,2.0,8652.2868184407,8655.745140733397,
00AMBO,7.0,8886.465736082364,8893.71686821125,
00ANCO,12.0,8603.951172478452,8634.246555088432,
00ANRA,1.0,8982.281204924038,8983.714773370606,
00ANTA,15.0,8717.449850889365,8969.620949827467,
00ARMA,3.0,8560.524548397585,8571.834576358096,
00ASIA,2.0,8580.718879956996,8623.933148957874,
00AYNA,3.0,8624.3707638585,8633.411122705907,
00CAJA,3.0,8594.383105789491,8601.329886872698,
00CHAO,7.0,9056.951155402301,9067.643383818395,
00COPA,2.0,8859.731500908088,8865.97129205917,
00COYA,1.0,8558.548406854836,8561.254851371328,
00CUPI,2.0,8401.809652705679,8409.672681692055,
00ETEN,1.0,9233.96243597982,9235.262379053125,
00IRAY,,8278.20933449533,8281.171455208247,
00JAEN,24.0,9363.070167375234,9376.080683167762,
00JULI,1.0,8262.257013207685,8276.024505169462,
00LARI,1.0,8330.827970259625,8341.876132736335,
00LAYO,1.0,8441.272235088287,8451.863752360043,
00LIMA,26.0,8671.412558461478,8671.412558461478,
00LUYA,5.0,9318.616594432111,9321.632231365542,
00MACA,1.0,8305.022621337406,8312.2364515045,
00MALA,5.0,8604.96384995312,8614.523511173074,
00MANU,6.0,8637.813378929197,8673.6198067103,
00MARA,5.0,8482.154970038546,8497.944315169094,
00MATO,2.0,9010.73376371253,9015.817615392387,
00MITO,3.0,8693.565987473168,8695.497604036676,
00MOHO,9.0,8368.121260563095,8381.799849277399,
00MORO,3.0,8989.266286763339,8995.01892817269,
00MOYA,2.0,8638.591902154812,8645.010494074051,
00NAPO,9.0,9742.441919190216,9838.122125652959,
